"no","speed","dc"
"1",5,1.58200001716614
"2",6,1.82200002670288
"3",3.40000009536743,1.057000041008
"4",2.70000004768372,0.5
"5",10,2.23600006103516
"6",9.69999980926514,2.38599991798401
"7",9.55000019073486,2.29399991035461
"8",3.04999995231628,0.558000028133392
"9",8.14999961853027,2.16599988937378
"10",6.19999980926514,1.86600005626678
"11",2.90000009536743,0.652999997138977
"12",6.34999990463257,1.92999994754791
"13",4.59999990463257,1.56200003623962
"14",5.80000019073486,1.73699998855591
"15",7.40000009536743,2.08800005912781
"16",3.59999990463257,1.13699996471405
"17",7.84999990463257,2.17899990081787
"18",8.80000019073486,2.11199998855591
"19",7,1.79999995231628
"20",5.44999980926514,1.50100004673004
"21",9.10000038146973,2.30299997329712
"22",10.1999998092651,2.30999994277954
"23",4.09999990463257,1.19400000572205
"24",3.95000004768372,1.14400005340576
"25",2.45000004768372,0.123000003397465
